,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
129,nantucket,41.2835,-70.0995,39.2,70,1,16.11,US,1612662484
130,astara,38.5,48.6667,37.4,100,75,4.61,AZ,1612662949
131,san cristobal,7.7669,-72.225,66.36,90,100,1.21,VE,1612662294
132,melo,-32.3667,-54.1833,67.57,62,0,2.55,UY,1612662949
133,coihaique,-45.5752,-72.0662,68.0,40,0,19.57,CL,1612662489
134,abu samrah,35.3029,37.1841,49.15,79,0,6.22,SY,1612662381
135,talaya,61.3833,152.75,-5.76,87,100,6.96,RU,1612662949
136,santa lucia,27.9117,-15.5407,60.01,82,40,5.75,ES,1612662949
137,saint george,37.1041,-113.5841,57.2,17,1,11.5,US,1612662444
138,kipushi,-11.7667,27.2333,63.23,98,100,3.38,CD,1612662949
139,bluff,-46.6,168.3333,61.45,71,0,7.96,NZ,1612662445
140,midland,31.9974,-102.0779,53.6,17,1,4.61,US,1612662747
141,awbari,26.5921,12.7805,60.98,28,0,13.51,LY,1612662950
142,ipswich,52.0592,1.1555,37.0,93,90,20.71,GB,1612662950
143,bathsheba,13.2167,-59.5167,77.22,79,97,18.72,BB,1612662442
144,teknaf,20.8624,92.3058,65.88,55,0,9.82,BD,1612662658
145,gabi,7.6215,126.092,77.85,84,100,3.04,PH,1612662950
146,marsa matruh,31.3525,27.2453,58.51,63,87,3.31,EG,1612662510
147,koster,-25.863,26.8976,58.3,91,87,3.44,ZA,1612662950
148,grindavik,63.8424,-22.4338,32.0,64,0,17.27,IS,1612662465
149,pirgos,35.1167,25.7178,55.99,87,0,6.91,GR,1612662951
150,buin,-33.7333,-70.75,70.0,82,0,9.22,CL,1612662951
151,bure,10.7,37.0667,51.13,44,100,3.58,ET,1612662951
152,gogrial,8.5332,28.1004,60.94,30,0,6.58,SS,1612662951
153,berezovyy,51.6667,135.7,6.13,88,100,4.56,RU,1612662951
154,provideniya,64.3833,-173.3,1.45,87,2,7.23,RU,1612662462
155,komsomolskiy,40.4272,71.7189,41.0,56,100,4.61,UZ,1612662489
156,narsaq,60.9167,-46.05,22.68,81,100,3.83,GL,1612662479
157,yellowknife,62.456,-114.3525,-40.0,74,1,3.44,CA,1612662208
158,atambua,-9.1061,124.8925,81.1,76,94,5.64,ID,1612662952
159,mar del plata,-38.0023,-57.5575,64.0,77,20,11.5,AR,1612662300
160,turangi,-39.0,175.9333,80.01,45,91,4.0,NZ,1612662952
161,nuuk,64.1835,-51.7216,33.8,44,20,18.41,GL,1612662495
162,minsk mazowiecki,52.1794,21.5725,10.99,82,92,11.52,PL,1612662952
163,avarua,-21.2078,-159.775,86.0,66,20,11.5,CK,1612662251
164,lima,-12.0432,-77.0282,75.0,78,75,10.36,PE,1612662342
165,livingston,55.9029,-3.5226,37.0,69,90,16.11,GB,1612662953
166,fare,-16.7,-151.0167,82.51,68,2,10.8,PF,1612662546
167,petropavlovsk-kamchatskiy,53.0452,158.6483,28.4,59,40,13.42,RU,1612662364
168,kavieng,-2.5744,150.7967,85.33,64,29,2.33,PG,1612662274
